-9.42 -9.42  1.17 -1.17
-9.42 -9.38  1.13 -1.13
-9.42 -9.33  1.10 -1.10
-9.42 -9.28  1.07 -1.07
-9.42 -9.24  1.04 -1.04
-9.42 -9.19  1.02 -1.02
-9.42 -9.14  1.01 -1.01
-9.42 -9.09  1.00 -1.00
-9.42 -9.05  1.00 -1.00
-9.42 -9.00  1.01 -1.01
-9.42 -8.95  1.02 -1.02
-9.42 -8.91  1.04 -1.04
-9.42 -8.86  1.06 -1.06
-9.42 -8.81  1.09 -1.09
-9.42 -8.77  1.13 -1.13
-9.42 -8.72  1.17 -1.17
-9.42 -8.67  1.21 -1.21
-9.42 -8.62  1.25 -1.25
-9.42 -8.58  1.30 -1.30
-9.42 -8.53  1.35 -1.35
-9.42 -8.48  1.40 -1.40
-9.42 -8.44  1.45 -1.45
-9.42 -8.39  1.50 -1.50
-9.42 -8.34  1.55 -1.55
-9.42 -8.29  1.60 -1.60
-9.42 -8.25  1.65 -1.65
-9.42 -8.20  1.69 -1.69
-9.42 -8.15  1.74 -1.74
-9.42 -8.11  1.79 -1.79
-9.42 -8.06  1.83 -1.83
-9.42 -8.01  1.88 -1.88
-9.42 -7.96  1.92 -1.92
-9.42 -7.92  1.96 -1.96
-9.42 -7.87  1.99 -1.99
-9.42 -7.82  2.03 -2.03
-9.42 -7.78  2.06 -2.06
-9.42 -7.73  2.09 -2.09
-9.42 -7.68  2.12 -2.12
-9.42 -7.63  2.14 -2.14
-9.42 -7.59  2.16 -2.16
-9.42 -7.54  2.18 -2.18
-9.42 -7.49  2.20 -2.20
-9.42 -7.45  2.21 -2.21
-9.42 -7.40  2.22 -2.22
-9.42 -7.35  2.23 -2.23
-9.42 -7.30  2.23 -2.23
-9.42 -7.26  2.24 -2.24
-9.42 -7.21  2.23 -2.23
-9.42 -7.16  2.23 -2.23
-9.42 -7.12  2.22 -2.22
-9.42 -7.07  2.21 -2.21
-9.42 -7.02  2.20 -2.20
-9.42 -6.97  2.18 -2.18
-9.42 -6.93  2.16 -2.16
-9.42 -6.88  2.14 -2.14
-9.42 -6.83  2.12 -2.12
-9.42 -6.79  2.09 -2.09
-9.42 -6.74  2.06 -2.06
-9.42 -6.69  2.03 -2.03
-9.42 -6.64  2.00 -2.00
-9.42 -6.60  1.96 -1.96
-9.42 -6.55  1.92 -1.92
-9.42 -6.50  1.88 -1.88
-9.42 -6.46  1.84 -1.84
-9.42 -6.41  1.79 -1.79
-9.42 -6.36  1.75 -1.75
-9.42 -6.31  1.70 -1.70
-9.42 -6.27  1.65 -1.65
-9.42 -6.22  1.60 -1.60
-9.42 -6.17  1.55 -1.55
-9.42 -6.13  1.50 -1.50
-9.42 -6.08  1.45 -1.45
-9.42 -6.03  1.40 -1.40
-9.42 -5.98  1.35 -1.35
-9.42 -5.94  1.30 -1.30
-9.42 -5.89  1.26 -1.26
-9.42 -5.84  1.21 -1.21
-9.42 -5.80  1.17 -1.17
-9.42 -5.75  1.13 -1.13
-9.42 -5.70  1.10 -1.10
-9.42 -5.65  1.07 -1.07
-9.42 -5.61  1.04 -1.04
-9.42 -5.56  1.02 -1.02
-9.42 -5.51  1.01 -1.01
-9.42 -5.47  1.00 -1.00
-9.42 -5.42  1.00 -1.00
-9.42 -5.37  1.01 -1.01
-9.42 -5.32  1.02 -1.02
-9.42 -5.28  1.04 -1.04
-9.42 -5.23  1.06 -1.06
-9.42 -5.18  1.09 -1.09
-9.42 -5.14  1.13 -1.13
-9.42 -5.09  1.17 -1.17
-9.42 -5.04  1.21 -1.21
-9.42 -5.00  1.25 -1.25
-9.42 -4.95  1.30 -1.30
-9.42 -4.90  1.35 -1.35
-9.42 -4.85  1.40 -1.40
-9.42 -4.81  1.45 -1.45
-9.42 -4.76  1.50 -1.50
-9.42 -4.71  1.55 -1.55
-9.42 -4.67  1.60 -1.60
-9.42 -4.62  1.65 -1.65
-9.42 -4.57  1.70 -1.70
-9.42 -4.52  1.74 -1.74
-9.42 -4.48  1.79 -1.79
-9.42 -4.43  1.83 -1.83
-9.42 -4.38  1.88 -1.88
-9.42 -4.34  1.92 -1.92
-9.42 -4.29  1.96 -1.96
-9.42 -4.24  1.99 -1.99
-9.42 -4.19  2.03 -2.03
-9.42 -4.15  2.06 -2.06
-9.42 -4.10  2.09 -2.09
-9.42 -4.05  2.12 -2.12
-9.42 -4.01  2.14 -2.14
-9.42 -3.96  2.16 -2.16
-9.42 -3.91  2.18 -2.18
-9.42 -3.86  2.20 -2.20
-9.42 -3.82  2.21 -2.21
-9.42 -3.77  2.22 -2.22
-9.42 -3.72  2.23 -2.23
-9.42 -3.68  2.23 -2.23
-9.42 -3.63  2.24 -2.24
-9.42 -3.58  2.23 -2.23
-9.42 -3.53  2.23 -2.23
-9.42 -3.49  2.22 -2.22
-9.42 -3.44  2.21 -2.21
-9.42 -3.39  2.20 -2.20
-9.42 -3.35  2.18 -2.18
-9.42 -3.30  2.16 -2.16
-9.42 -3.25  2.14 -2.14
-9.42 -3.20  2.12 -2.12
-9.42 -3.16  2.09 -2.09
-9.42 -3.11  2.06 -2.06
-9.42 -3.06  2.03 -2.03
-9.42 -3.02  1.99 -1.99
-9.42 -2.97  1.96 -1.96
-9.42 -2.92  1.92 -1.92
-9.42 -2.87  1.88 -1.88
-9.42 -2.83  1.84 -1.84
-9.42 -2.78  1.79 -1.79
-9.42 -2.73  1.74 -1.74
-9.42 -2.69  1.70 -1.70
-9.42 -2.64  1.65 -1.65
-9.42 -2.59  1.60 -1.60
-9.42 -2.54  1.55 -1.55
-9.42 -2.50  1.50 -1.50
-9.42 -2.45  1.45 -1.45
-9.42 -2.40  1.40 -1.40
-9.42 -2.36  1.35 -1.35
-9.42 -2.31  1.30 -1.30
-9.42 -2.26  1.25 -1.25
-9.42 -2.21  1.21 -1.21
-9.42 -2.17  1.17 -1.17
-9.42 -2.12  1.13 -1.13
-9.42 -2.07  1.09 -1.09
-9.42 -2.03  1.06 -1.06
-9.42 -1.98  1.04 -1.04
-9.42 -1.93  1.02 -1.02
-9.42 -1.88  1.01 -1.01
-9.42 -1.84  1.00 -1.00
-9.42 -1.79  1.00 -1.00
-9.42 -1.74  1.01 -1.01
-9.42 -1.70  1.02 -1.02
-9.42 -1.65  1.04 -1.04
-9.42 -1.60  1.06 -1.06
-9.42 -1.56  1.09 -1.09
-9.42 -1.51  1.13 -1.13
-9.42 -1.46  1.17 -1.17
-9.42 -1.41  1.21 -1.21
-9.42 -1.37  1.25 -1.25
-9.42 -1.32  1.30 -1.30
-9.42 -1.27  1.35 -1.35
-9.42 -1.23  1.40 -1.40
-9.42 -1.18  1.45 -1.45
-9.42 -1.13  1.50 -1.50
-9.42 -1.08  1.55 -1.55
-9.42 -1.04  1.60 -1.60
-9.42 -0.99  1.65 -1.65
-9.42 -0.94  1.70 -1.70
-9.42 -0.90  1.74 -1.74
-9.42 -0.85  1.79 -1.79
-9.42 -0.80  1.83 -1.83
-9.42 -0.75  1.88 -1.88
-9.42 -0.71  1.92 -1.92
-9.42 -0.66  1.96 -1.96
-9.42 -0.61  1.99 -1.99
-9.42 -0.57  2.03 -2.03
-9.42 -0.52  2.06 -2.06
-9.42 -0.47  2.09 -2.09
-9.42 -0.42  2.12 -2.12
-9.42 -0.38  2.14 -2.14
-9.42 -0.33  2.16 -2.16
-9.42 -0.28  2.18 -2.18
-9.42 -0.24  2.20 -2.20
-9.42 -0.19  2.21 -2.21
-9.42 -0.14  2.22 -2.22
-9.42 -0.09  2.23 -2.23

-9.38 -9.42  1.13 -1.13
-9.38 -9.38  1.10 -1.10
-9.38 -9.33  1.07 -1.07
-9.38 -9.28  1.04 -1.04
-9.38 -9.24  1.02 -1.02
-9.38 -9.19  1.01 -1.01
-9.38 -9.14  1.00 -1.00
-9.38 -9.09  1.00 -1.00
-9.38 -9.05  1.00 -1.00
-9.38 -9.00  1.02 -1.02
-9.38 -8.95  1.03 -1.03
-9.38 -8.91  1.06 -1.06
-9.38 -8.86  1.09 -1.09
-9.38 -8.81  1.12 -1.12
-9.38 -8.77  1.16 -1.16
-9.38 -8.72  1.20 -1.20
-9.38 -8.67  1.25 -1.25
-9.38 -8.62  1.29 -1.29
-9.38 -8.58  1.34 -1.34
-9.38 -8.53  1.39 -1.39
-9.38 -8.48  1.44 -1.44
-9.38 -8.44  1.50 -1.50
-9.38 -8.39  1.55 -1.55
-9.38 -8.34  1.60 -1.60
-9.38 -8.29  1.65 -1.65
-9.38 -8.25  1.70 -1.70
-9.38 -8.20  1.75 -1.75
-9.38 -8.15  1.80 -1.80
-9.38 -8.11  1.85 -1.85
-9.38 -8.06  1.89 -1.89
-9.38 -8.01  1.93 -1.93
-9.38 -7.96  1.98 -1.98
-9.38 -7.92  2.02 -2.02
-9.38 -7.87  2.05 -2.05
-9.38 -7.82  2.09 -2.09
-9.38 -7.78  2.12 -2.12
-9.38 -7.73  2.15 -2.15
-9.38 -7.68  2.18 -2.18
-9.38 -7.63  2.20 -2.20
-9.38 -7.59  2.22 -2.22
-9.38 -7.54  2.24 -2.24
-9.38 -7.49  2.26 -2.26
-9.38 -7.45  2.27 -2.27
-9.38 -7.40  2.28 -2.28
-9.38 -7.35  2.29 -2.29
-9.38 -7.30  2.30 -2.30
-9.38 -7.26  2.30 -2.30
-9.38 -7.21  2.30 -2.30
-9.38 -7.16  2.29 -2.29
-9.38 -7.12  2.29 -2.29
-9.38 -7.07  2.27 -2.27
-9.38 -7.02  2.26 -2.26
-9.38 -6.97  2.25 -2.25
-9.38 -6.93  2.23 -2.23
-9.38 -6.88  2.20 -2.20
-9.38 -6.83  2.18 -2.18
-9.38 -6.79  2.15 -2.15
-9.38 -6.74  2.12 -2.12
-9.38 -6.69  2.09 -2.09
-9.38 -6.64  2.06 -2.06
-9.38 -6.60  2.02 -2.02
-9.38 -6.55  1.98 -1.98
-9.38 -6.50  1.94 -1.94
-9.38 -6.46  1.89 -1.89
-9.38 -6.41  1.85 -1.85
-9.38 -6.36  1.80 -1.80
-9.38 -6.31  1.75 -1.75
-9.38 -6.27  1.70 -1.70
-9.38 -6.22  1.65 -1.65
-9.38 -6.17  1.60 -1.60
-9.38 -6.13  1.55 -1.55
-9.38 -6.08  1.50 -1.50
-9.38 -6.03  1.45 -1.45
-9.38 -5.98  1.40 -1.40
-9.38 -5.94  1.35 -1.35
-9.38 -5.89  1.30 -1.30
-9.38 -5.84  1.25 -1.25
-9.38 -5.80  1.20 -1.20
-9.38 -5.75  1.16 -1.16
-9.38 -5.70  1.12 -1.12
-9.38 -5.65  1.09 -1.09
-9.38 -5.61  1.06 -1.06
-9.38 -5.56  1.04 -1.04
-9.38 -5.51  1.02 -1.02
-9.38 -5.47  1.00 -1.00
-9.38 -5.42  1.00 -1.00
-9.38 -5.37  1.00 -1.00
-9.38 -5.32  1.01 -1.01
-9.38 -5.28  1.02 -1.02
-9.38 -5.23  1.04 -1.04
-9.38 -5.18  1.06 -1.06
-9.38 -5.14  1.09 -1.09
-9.38 -5.09  1.13 -1.13
-9.38 -5.04  1.17 -1.17
-9.38 -5.00  1.21 -1.21
-9.38 -4.95  1.25 -1.25
-9.38 -4.90  1.30 -1.30
-9.38 -4.85  1.35 -1.35
-9.38 -4.81  1.39 -1.39
-9.38 -4.76  1.44 -1.44
-9.38 -4.71  1.49 -1.49
-9.38 -4.67  1.54 -1.54
-9.38 -4.62  1.59 -1.59
-9.38 -4.57  1.64 -1.64
-9.38 -4.52  1.68 -1.68
-9.38 -4.48  1.73 -1.73
-9.38 -4.43  1.77 -1.77
-9.38 -4.38  1.82 -1.82
-9.38 -4.34  1.86 -1.86
-9.38 -4.29  1.89 -1.89
-9.38 -4.24  1.93 -1.93
-9.38 -4.19  1.97 -1.97
-9.38 -4.15  2.00 -2.00
-9.38 -4.10  2.03 -2.03
-9.38 -4.05  2.05 -2.05
-9.38 -4.01  2.08 -2.08
-9.38 -3.96  2.10 -2.10
-9.38 -3.91  2.12 -2.12
-9.38 -3.86  2.13 -2.13
-9.38 -3.82  2.15 -2.15
-9.38 -3.77  2.16 -2.16
-9.38 -3.72  2.17 -2.17
-9.38 -3.68  2.17 -2.17
-9.38 -3.63  2.17 -2.17
-9.38 -3.58  2.17 -2.17
-9.38 -3.53  2.17 -2.17
-9.38 -3.49  2.16 -2.16
-9.38 -3.44  2.15 -2.15
-9.38 -3.39  2.14 -2.14
-9.38 -3.35  2.12 -2.12
-9.38 -3.30  2.10 -2.10
-9.38 -3.25  2.08 -2.08
-9.38 -3.20  2.05 -2.05
-9.38 -3.16  2.03 -2.03
-9.38 -3.11  2.00 -2.00
-9.38 -3.06  1.97 -1.97
-9.38 -3.02  1.93 -1.93
-9.38 -2.97  1.90 -1.90
-9.38 -2.92  1.86 -1.86
-9.38 -2.87  1.82 -1.82
-9.38 -2.83  1.77 -1.77
-9.38 -2.78  1.73 -1.73
-9.38 -2.73  1.69 -1.69
-9.38 -2.69  1.64 -1.64
-9.38 -2.64  1.59 -1.59
-9.38 -2.59  1.54 -1.54
-9.38 -2.54  1.49 -1.49
-9.38 -2.50  1.45 -1.45
-9.38 -2.45  1.40 -1.40
-9.38 -2.40  1.35 -1.35
-9.38 -2.36  1.30 -1.30
-9.38 -2.31  1.25 -1.25
-9.38 -2.26  1.21 -1.21
-9.38 -2.21  1.17 -1.17
-9.38 -2.17  1.13 -1.13
-9.38 -2.12  1.10 -1.10
-9.38 -2.07  1.07 -1.07
-9.38 -2.03  1.04 -1.04
-9.38 -1.98  1.02 -1.02
-9.38 -1.93  1.01 -1.01
-9.38 -1.88  1.00 -1.00
-9.38 -1.84  1.00 -1.00
-9.38 -1.79  1.00 -1.00
-9.38 -1.74  1.02 -1.02
-9.38 -1.70  1.03 -1.03
-9.38 -1.65  1.06 -1.06
-9.38 -1.60  1.09 -1.09
-9.38 -1.56  1.12 -1.12
-9.38 -1.51  1.16 -1.16
-9.38 -1.46  1.20 -1.20
-9.38 -1.41  1.25 -1.25
-9.38 -1.37  1.30 -1.30
