 0.00 -4.00 -0.00  0.00  4.00
 0.00 -3.98 -0.02  0.02  3.98
 0.00 -3.90 -0.10  0.10  3.90
 0.00 -3.78 -0.22  0.22  3.78
 0.00 -3.62 -0.38  0.38  3.62
 0.00 -3.41 -0.59  0.59  3.41
 0.00 -3.18 -0.82  0.82  3.18
 0.00 -2.91 -1.09  1.09  2.91
 0.00 -2.62 -1.38  1.38  2.62
 0.00 -2.31 -1.69  1.69  2.31
 0.00 -2.00 -2.00  2.00  2.00
 0.00 -2.31 -1.69  1.69  2.31
 0.00 -2.62 -1.38  1.38  2.62
 0.00 -2.91 -1.09  1.09  2.91
 0.00 -3.18 -0.82  0.82  3.18
 0.00 -3.41 -0.59  0.59  3.41
 0.00 -3.62 -0.38  0.38  3.62
 0.00 -3.78 -0.22  0.22  3.78
 0.00 -3.90 -0.10  0.10  3.90
 0.00 -3.98 -0.02  0.02  3.98
 0.31 -3.98 -0.02  0.02  3.98
 0.31 -3.95 -0.00  0.00  3.95
 0.31 -3.88 -0.07  0.07  3.88
 0.31 -3.76 -0.19  0.19  3.76
 0.31 -3.59 -0.36  0.36  3.59
 0.31 -3.39 -0.56  0.56  3.39
 0.31 -3.15 -0.80  0.80  3.15
 0.31 -2.88 -1.07  1.07  2.88
 0.31 -2.59 -1.36  1.36  2.59
 0.31 -2.29 -1.66  1.66  2.29
 0.31 -1.98 -1.98  1.98  1.98
 0.31 -2.29 -1.66  1.66  2.29
 0.31 -2.59 -1.36  1.36  2.59
 0.31 -2.88 -1.07  1.07  2.88
 0.31 -3.15 -0.80  0.80  3.15
 0.31 -3.39 -0.56  0.56  3.39
 0.31 -3.59 -0.36  0.36  3.59
 0.31 -3.76 -0.19  0.19  3.76
 0.31 -3.88 -0.07  0.07  3.88
 0.31 -3.95 -0.00  0.00  3.95
 0.63 -3.90 -0.10  0.10  3.90
 0.63 -3.88 -0.07  0.07  3.88
 0.63 -3.80 -0.00  0.00  3.80
 0.63 -3.68 -0.12  0.12  3.68
 0.63 -3.52 -0.28  0.28  3.52
 0.63 -3.32 -0.49  0.49  3.32
 0.63 -3.08 -0.73  0.73  3.08
 0.63 -2.81 -0.99  0.99  2.81
 0.63 -2.52 -1.28  1.28  2.52
 0.63 -2.21 -1.59  1.59  2.21
